epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,825.117,1.54555,7.30439,0.01785,0.61326,0.05407,0.05795,0.03053,1.33148,5.49883,0.01239,7.88466e-05,7.88466e-05,7.88466e-05
2,1631.35,1.34235,4.17787,0.01448,0.53022,0.36746,0.38075,0.21499,1.42803,3.34615,0.01293,0.00014252,0.00014252,0.00014252
