epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.2627,1.44837,7.96534,0.01493,0.6171,0.12773,0.14593,0.07454,1.34923,6.8303,0.01305,7.909e-05,7.909e-05,7.909e-05
2,129.161,1.30512,5.40109,0.01294,0.56824,0.53172,0.58007,0.35629,1.35188,4.56977,0.01314,0.000156855,0.000156855,0.000156855
3,182.083,1.32627,4.10582,0.01289,0.65061,0.77937,0.79288,0.51403,1.25942,3.40034,0.01218,0.000233049,0.000233049,0.000233049
4,234.222,1.32523,3.34621,0.01302,0.73594,0.80813,0.8634,0.55303,1.30626,2.7515,0.01253,0.000230931,0.000230931,0.000230931
5,286.288,1.32377,2.82279,0.01297,0.81922,0.85435,0.91923,0.55148,1.44039,2.35864,0.01356,0.000228575,0.000228575,0.000228575
6,338.445,1.322,2.4392,0.01293,0.8566,0.87467,0.9434,0.60335,1.31948,1.92337,0.01278,0.000226219,0.000226219,0.000226219
7,390.998,1.32268,2.1594,0.01288,0.89036,0.8854,0.95469,0.62464,1.28116,1.62129,0.01236,0.000223863,0.000223863,0.000223863
8,443.278,1.30779,1.95954,0.01278,0.88624,0.90508,0.95961,0.62482,1.29743,1.43561,0.01263,0.000221507,0.000221507,0.000221507
9,495.301,1.31202,1.80539,0.01289,0.87135,0.9013,0.95773,0.62333,1.30805,1.35518,0.0126,0.00021915,0.00021915,0.00021915
10,547.18,1.29426,1.67196,0.01267,0.89589,0.92164,0.96689,0.63106,1.28307,1.19503,0.01237,0.000216794,0.000216794,0.000216794
11,599.539,1.29053,1.57746,0.01267,0.9027,0.92031,0.96792,0.63123,1.2814,1.14461,0.01244,0.000214438,0.000214438,0.000214438
12,651.516,1.28175,1.51122,0.0125,0.90998,0.92432,0.96986,0.63829,1.26884,1.04863,0.01233,0.000212082,0.000212082,0.000212082
13,703.554,1.28368,1.4327,0.01253,0.92299,0.93523,0.97118,0.62206,1.34894,0.98285,0.01287,0.000209726,0.000209726,0.000209726
14,755.91,1.27506,1.3681,0.01243,0.92655,0.91663,0.97148,0.6379,1.27923,0.94811,0.01238,0.000207369,0.000207369,0.000207369
15,808.042,1.27454,1.32479,0.01242,0.92385,0.93026,0.97181,0.63555,1.28619,0.89918,0.01255,0.000205013,0.000205013,0.000205013
16,860.052,1.27015,1.2838,0.01236,0.92791,0.92902,0.97431,0.63988,1.27738,0.86268,0.01235,0.000202657,0.000202657,0.000202657
17,912.115,1.26151,1.24081,0.01228,0.93485,0.9385,0.97451,0.63639,1.27834,0.81583,0.01242,0.000200301,0.000200301,0.000200301
18,964.35,1.25892,1.21364,0.01226,0.9231,0.93796,0.97558,0.63942,1.27757,0.7929,0.01236,0.000197945,0.000197945,0.000197945
19,1016.46,1.24774,1.17716,0.01208,0.93312,0.93283,0.97533,0.63446,1.29458,0.78934,0.01257,0.000195588,0.000195588,0.000195588
20,1068.83,1.2493,1.15572,0.01213,0.93884,0.94382,0.97627,0.63649,1.28495,0.77375,0.01243,0.000193232,0.000193232,0.000193232
21,1121.12,1.2371,1.1321,0.01209,0.94296,0.93767,0.9778,0.63599,1.28707,0.75858,0.01252,0.000190876,0.000190876,0.000190876
22,1173.45,1.22838,1.11698,0.01192,0.94318,0.94075,0.97739,0.63979,1.28635,0.75896,0.0125,0.00018852,0.00018852,0.00018852
23,1225.58,1.23149,1.1044,0.012,0.94345,0.93887,0.97737,0.63681,1.29009,0.7396,0.01256,0.000186164,0.000186164,0.000186164
24,1277.64,1.22247,1.07881,0.01194,0.94112,0.95113,0.97876,0.63415,1.30077,0.72747,0.01262,0.000183807,0.000183807,0.000183807
25,1329.86,1.22936,1.07282,0.01191,0.94229,0.94317,0.9785,0.63973,1.28655,0.72305,0.01251,0.000181451,0.000181451,0.000181451
26,1381.84,1.22218,1.06347,0.01181,0.94196,0.95745,0.97726,0.63318,1.29462,0.72158,0.01258,0.000179095,0.000179095,0.000179095
27,1434.14,1.21373,1.0458,0.01178,0.94278,0.94858,0.97795,0.62997,1.30936,0.71091,0.01276,0.000176739,0.000176739,0.000176739
28,1486.42,1.20758,1.02797,0.01158,0.95021,0.94564,0.97914,0.63652,1.29211,0.69392,0.01251,0.000174383,0.000174383,0.000174383
29,1538.47,1.19379,0.99874,0.01156,0.95262,0.95099,0.97929,0.63451,1.29855,0.68692,0.01267,0.000172026,0.000172026,0.000172026
30,1590.56,1.20561,1.02235,0.01161,0.94561,0.9552,0.97969,0.6402,1.28691,0.68216,0.01253,0.00016967,0.00016967,0.00016967
31,1642.63,1.1891,0.97496,0.01151,0.9427,0.95034,0.97902,0.63003,1.30987,0.68385,0.01281,0.000167314,0.000167314,0.000167314
32,1694.91,1.18588,0.9687,0.01148,0.95644,0.94239,0.97999,0.63876,1.28129,0.67815,0.0125,0.000164958,0.000164958,0.000164958
33,1746.87,1.18541,0.95692,0.01143,0.94988,0.9539,0.98119,0.63651,1.29332,0.65976,0.01256,0.000162602,0.000162602,0.000162602
34,1799.5,1.17566,0.96399,0.01132,0.95413,0.95326,0.97877,0.63653,1.29429,0.66147,0.01262,0.000160245,0.000160245,0.000160245
35,1851.73,1.16809,0.96674,0.01125,0.95198,0.95577,0.98097,0.63562,1.29575,0.66124,0.01261,0.000157889,0.000157889,0.000157889
36,1903.85,1.16419,0.94722,0.01122,0.95363,0.95256,0.98071,0.629,1.31266,0.6737,0.01298,0.000155533,0.000155533,0.000155533
37,1956.14,1.15915,0.93202,0.01122,0.96008,0.95191,0.9813,0.63519,1.3008,0.66727,0.0127,0.000153177,0.000153177,0.000153177
38,2008.38,1.15894,0.93635,0.01106,0.96036,0.95497,0.98114,0.63419,1.303,0.6558,0.01263,0.000150821,0.000150821,0.000150821
39,2060.5,1.14492,0.92405,0.01099,0.9589,0.95476,0.98177,0.63359,1.30544,0.65863,0.01279,0.000148464,0.000148464,0.000148464
40,2112.46,1.14428,0.91693,0.01097,0.95897,0.95214,0.98032,0.63204,1.31386,0.66207,0.0128,0.000146108,0.000146108,0.000146108
41,2165.15,1.14026,0.92197,0.01091,0.95734,0.94704,0.97947,0.63399,1.31016,0.66724,0.01275,0.000143752,0.000143752,0.000143752
