dataset,image_count,annotation_count,avg_width,avg_height,avg_resolution,median_resolution,min_resolution,max_resolution,avg_file_size,median_file_size,min_file_size,max_file_size,avg_brightness,min_brightness,max_brightness,avg_contrast,avg_sharpness,avg_blur_score,avg_aspect_ratio
dataset_A,464,462,1848.9677,2420.5496,7945498.9461,387691.5000,65536,15925248,2858291.2974,118378.5000,19225,9080702,112.0952,60,247,52.5300,3169.2499,3169.2499,0.8788
dataset_B,2087,2088,883.4164,904.1993,820269.2151,800000.0000,83166,12192768,98757.9406,86455.0000,9943,1176679,101.1104,13,180,61.3946,663.7304,663.7304,1.0315
