dataset,filename,stem,extension,size_bytes,width,height,mode,md5,phash,path
dataset_A,IMG20221109100804.jpg,IMG20221109100804,.jpg,3193208,3456,4608,RGB,343f857ac19dbfcc9ebff654704d0f6d,f074b60b4b888f8f,data\raw\dataset_A\Pics\IMG20221109100804.jpg
dataset_A,IMG20221109100805.jpg,IMG20221109100805,.jpg,3116800,3456,4608,RGB,3ae8a05e9676d4221aa79c6ad7538790,f474f4024e9fb1e0,data\raw\dataset_A\Pics\IMG20221109100805.jpg
dataset_A,IMG20221109100809.jpg,IMG20221109100809,.jpg,3325537,3456,4608,RGB,1171fc5ce91de01876173de93eb09332,cc0cce8b20e5deba,data\raw\dataset_A\Pics\IMG20221109100809.jpg
dataset_A,IMG20221109100815.jpg,IMG20221109100815,.jpg,3003965,3456,4608,RGB,2aee6c24532e4a09ab38cbef6b1a443b,83a3ab542d8dc637,data\raw\dataset_A\Pics\IMG20221109100815.jpg
dataset_A,IMG20221109100819.jpg,IMG20221109100819,.jpg,2649384,3456,4608,RGB,39cea474cb5ae524e6c7cf7af4b8da2b,90f68e0bc9a6cb8d,data\raw\dataset_A\Pics\IMG20221109100819.jpg
dataset_A,IMG20221109100905.jpg,IMG20221109100905,.jpg,3572312,3456,4608,RGB,0010de21f41a24898896f975fdcf7d3d,f6bebe42c13cc1a0,data\raw\dataset_A\Pics\IMG20221109100905.jpg
dataset_A,IMG20221109100908.jpg,IMG20221109100908,.jpg,3315985,3456,4608,RGB,f6df791aca7c90aaa9c73f29d795ead8,8c4dcd9f2a6a9615,data\raw\dataset_A\Pics\IMG20221109100908.jpg
dataset_A,IMG20221109100924.jpg,IMG20221109100924,.jpg,2994333,3456,4608,RGB,387eb651198042fbcaced65acda2de4e,eb63e3a020ce1e3d,data\raw\dataset_A\Pics\IMG20221109100924.jpg
dataset_A,IMG20221109100940.jpg,IMG20221109100940,.jpg,3040910,3456,4608,RGB,d11e41ed99326e6bfbe072948f26cfa6,9f1fdab239c58064,data\raw\dataset_A\Pics\IMG20221109100940.jpg
dataset_A,IMG20221109100941.jpg,IMG20221109100941,.jpg,2955119,3456,4608,RGB,93651fa2e22b4ee61563e609f7010d81,da7afaba2c4e0921,data\raw\dataset_A\Pics\IMG20221109100941.jpg
dataset_A,IMG20221109100942.jpg,IMG20221109100942,.jpg,3068064,3456,4608,RGB,3d010b79f09430dcfc7710caf564481c,b131d19a3c6d1d95,data\raw\dataset_A\Pics\IMG20221109100942.jpg
dataset_A,IMG20221109101000.jpg,IMG20221109101000,.jpg,3310255,3456,4608,RGB,7aeb2f44896e84a9cc1068db522b2ccb,d4d89b3944c0bf3c,data\raw\dataset_A\Pics\IMG20221109101000.jpg
dataset_A,IMG20221109101014.jpg,IMG20221109101014,.jpg,5367186,3456,4608,RGB,19b15a2d1599a989501cf5fe113ed778,8587d3fa293896c6,data\raw\dataset_A\Pics\IMG20221109101014.jpg
dataset_A,IMG20221109101015.jpg,IMG20221109101015,.jpg,5370278,3456,4608,RGB,53b8b919c1bb9da1f5315aced3728695,c6c2c2c2f2f5558d,data\raw\dataset_A\Pics\IMG20221109101015.jpg
dataset_A,IMG20221109101024.jpg,IMG20221109101024,.jpg,7073171,3456,4608,RGB,dd96f5012518f6e35bc3306f83ff6004,d7270ae278393b07,data\raw\dataset_A\Pics\IMG20221109101024.jpg
dataset_A,IMG20221109101039.jpg,IMG20221109101039,.jpg,5036846,3456,4608,RGB,b68c02e361d38ac390c1d9388f3de8bb,c9e9c98389c8da73,data\raw\dataset_A\Pics\IMG20221109101039.jpg
dataset_A,IMG20221109101041.jpg,IMG20221109101041,.jpg,6674761,3456,4608,RGB,856729f8af9755aa1a17789ad977b8dd,e6e6c784ac2d6923,data\raw\dataset_A\Pics\IMG20221109101041.jpg
dataset_A,IMG20221109101042.jpg,IMG20221109101042,.jpg,6582126,3456,4608,RGB,2132dba6116eeb8b7155af61a877c5f5,cec4c98bda3b431a,data\raw\dataset_A\Pics\IMG20221109101042.jpg
dataset_A,IMG20221109101044.jpg,IMG20221109101044,.jpg,7041441,3456,4608,RGB,640637210fec3bfb9178a02fc3214461,fdc1c6d98b2e0952,data\raw\dataset_A\Pics\IMG20221109101044.jpg
dataset_A,IMG20221109101046.jpg,IMG20221109101046,.jpg,5641446,3456,4608,RGB,8318dd20195763fea906a9639e78dc7d,f6c9c396a5405fb0,data\raw\dataset_A\Pics\IMG20221109101046.jpg
dataset_A,IMG20221109101049.jpg,IMG20221109101049,.jpg,6680782,3456,4608,RGB,25cba35dc5e3b7f612fb0d3bf702fd19,afafa9b13504e8a8,data\raw\dataset_A\Pics\IMG20221109101049.jpg
dataset_A,IMG20221109101050.jpg,IMG20221109101050,.jpg,7205310,3456,4608,RGB,454da62a874c3cacffa462b18befb5a5,b191d59147e6a4ad,data\raw\dataset_A\Pics\IMG20221109101050.jpg
dataset_A,IMG20221109101139.jpg,IMG20221109101139,.jpg,6108386,3456,4608,RGB,d1b1877db4ca5efc339fec917434fc7d,957c52d6170733b1,data\raw\dataset_A\Pics\IMG20221109101139.jpg
dataset_A,IMG20221109101152.jpg,IMG20221109101152,.jpg,4493941,3456,4608,RGB,58c2f38f15666e463d6dff4a87881941,f677afc29810164d,data\raw\dataset_A\Pics\IMG20221109101152.jpg
dataset_A,IMG20221109101210.jpg,IMG20221109101210,.jpg,7079126,3456,4608,RGB,51d9b3b6ff832a6f36a2cb29ec49bd77,b9b1b7e0db568103,data\raw\dataset_A\Pics\IMG20221109101210.jpg
dataset_A,IMG20221109101219.jpg,IMG20221109101219,.jpg,5785206,3456,4608,RGB,a53184b397d8fc540e9575eda7b34684,f8fa3d04f0525e4a,data\raw\dataset_A\Pics\IMG20221109101219.jpg
dataset_A,IMG20221109101220.jpg,IMG20221109101220,.jpg,6115958,3456,4608,RGB,36f8fbe27d6ac37b725e0b41afa5ebad,adbd0442dad8f343,data\raw\dataset_A\Pics\IMG20221109101220.jpg
dataset_A,IMG20221109101225.jpg,IMG20221109101225,.jpg,6685347,3456,4608,RGB,92251cbbcd1034574b17a8acc2fd31ea,82678cb1a2accddd,data\raw\dataset_A\Pics\IMG20221109101225.jpg
dataset_A,IMG20221109101229.jpg,IMG20221109101229,.jpg,5119262,3456,4608,RGB,d12d3b8b94a4450844efd4ac10af37bf,812f6eec2c0f4f0b,data\raw\dataset_A\Pics\IMG20221109101229.jpg
dataset_A,IMG20221109101617.jpg,IMG20221109101617,.jpg,6641731,3456,4608,RGB,9a8aa86a3ad229402630f8f55f62c0f0,edada5d59585212a,data\raw\dataset_A\Pics\IMG20221109101617.jpg
dataset_A,IMG20221109101621.jpg,IMG20221109101621,.jpg,5414110,3456,4608,RGB,1b21022a55d6d00e780bba70dd54ebed,b999d9db822614dc,data\raw\dataset_A\Pics\IMG20221109101621.jpg
dataset_A,IMG20221109101623.jpg,IMG20221109101623,.jpg,5174055,3456,4608,RGB,c9bba5fe53a1cb523572bb7c30540bf8,fdbfb434909007ac,data\raw\dataset_A\Pics\IMG20221109101623.jpg
dataset_A,IMG20221109101624.jpg,IMG20221109101624,.jpg,6373254,3456,4608,RGB,d7749bc5145d54c785967da462435057,f5e1e17106ae5931,data\raw\dataset_A\Pics\IMG20221109101624.jpg
dataset_A,IMG20221109101625.jpg,IMG20221109101625,.jpg,5401520,3456,4608,RGB,da003c731f858a1c61e3a1125a3e01b7,e5e3e70e089c256b,data\raw\dataset_A\Pics\IMG20221109101625.jpg
dataset_A,IMG20221109101626.jpg,IMG20221109101626,.jpg,6746402,3456,4608,RGB,41b53f14b7f645f8707b3b3ded29aa6f,fafcf420629ccc68,data\raw\dataset_A\Pics\IMG20221109101626.jpg
dataset_A,IMG20221109101628.jpg,IMG20221109101628,.jpg,6472918,3456,4608,RGB,1fa730c0cf0acfc14fa8ae9afd16b24a,c892c2e2d99c97ea,data\raw\dataset_A\Pics\IMG20221109101628.jpg
dataset_A,IMG20221109101629.jpg,IMG20221109101629,.jpg,6282484,3456,4608,RGB,9751621abb0aa6ebf555643e032b2e3a,f9b9496583d89a1a,data\raw\dataset_A\Pics\IMG20221109101629.jpg
dataset_A,IMG20221109101632.jpg,IMG20221109101632,.jpg,5237477,3456,4608,RGB,15b78561bb5435cc06c0322360faba37,d0d889e9d889e1f3,data\raw\dataset_A\Pics\IMG20221109101632.jpg
dataset_A,IMG20221109101633.jpg,IMG20221109101633,.jpg,5357975,3456,4608,RGB,6d2099b8ac908677f482a3a2927315d2,e0d1e16687ecf8d0,data\raw\dataset_A\Pics\IMG20221109101633.jpg
dataset_A,IMG20221109101634.jpg,IMG20221109101634,.jpg,5016250,3456,4608,RGB,492c646eda05c5234cbb6c2845348349,cac8d074c5c3c5ee,data\raw\dataset_A\Pics\IMG20221109101634.jpg
dataset_A,IMG20221109101635.jpg,IMG20221109101635,.jpg,5971507,3456,4608,RGB,bd3391adfa94961cd04af6c30c7ac683,dfba6063858e4c5a,data\raw\dataset_A\Pics\IMG20221109101635.jpg
