epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,918.585,0.70827,0.53973,0.97444,0.91583,0.88218,0.94377,0.78782,0.69647,0.4829,0.97182,0.0011684,0.0011684,0.0011684
44,940.191,0.71431,0.52743,0.97033,0.90372,0.88794,0.94927,0.79086,0.68638,0.49569,0.95773,0.0011486,0.0011486,0.0011486
45,961.966,0.70399,0.52637,0.96871,0.90836,0.90734,0.94895,0.78965,0.67333,0.47491,0.95666,0.0011288,0.0011288,0.0011288
46,983.602,0.6903,0.51496,0.95621,0.91807,0.90734,0.95328,0.79811,0.6669,0.45525,0.95412,0.001109,0.001109,0.001109
47,1005.37,0.70491,0.52449,0.97207,0.91477,0.89961,0.95647,0.79098,0.67963,0.4525,0.96691,0.0010892,0.0010892,0.0010892
48,1027.14,0.70962,0.52325,0.9709,0.91166,0.89648,0.95743,0.79387,0.68821,0.44791,0.95735,0.0010694,0.0010694,0.0010694
49,1048.79,0.67468,0.50003,0.94655,0.91436,0.90541,0.95642,0.80564,0.65588,0.44884,0.95183,0.0010496,0.0010496,0.0010496
50,1070.44,0.67489,0.49128,0.95576,0.9191,0.87729,0.93192,0.78149,0.70395,0.5065,0.98406,0.0010298,0.0010298,0.0010298
51,1092.11,0.69094,0.49996,0.9588,0.92962,0.8861,0.95222,0.79272,0.69095,0.45794,0.96446,0.00101,0.00101,0.00101
52,1113.63,0.69165,0.51331,0.9594,0.91559,0.90041,0.94943,0.803,0.65625,0.45906,0.9481,0.0009902,0.0009902,0.0009902
53,1135.31,0.69194,0.51492,0.96366,0.91762,0.9031,0.95666,0.81002,0.65778,0.45363,0.95346,0.0009704,0.0009704,0.0009704
54,1156.99,0.67744,0.4861,0.95678,0.93558,0.87645,0.95305,0.80393,0.65966,0.45163,0.95108,0.0009506,0.0009506,0.0009506
55,1178.58,0.67971,0.49575,0.95818,0.92674,0.89575,0.94988,0.79437,0.67737,0.44828,0.95512,0.0009308,0.0009308,0.0009308
56,1200.18,0.66271,0.48132,0.94662,0.93471,0.88443,0.95664,0.8047,0.66159,0.44224,0.95358,0.000911,0.000911,0.000911
