epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.0579,1.44792,7.94445,0.01493,0.611,0.13275,0.15866,0.08459,1.32326,6.72203,0.01283,7.909e-05,7.909e-05,7.909e-05
2,168.374,1.3006,5.34361,0.01288,0.62335,0.55964,0.6204,0.3905,1.29967,4.36439,0.01272,0.000155287,0.000155287,0.000155287
3,251.502,1.32445,4.04835,0.01303,0.69757,0.70416,0.77395,0.47049,1.37203,3.50234,0.01326,0.000228341,0.000228341,0.000228341
4,332.084,1.32162,3.31836,0.01308,0.73636,0.81579,0.86374,0.55335,1.2728,2.7229,0.01245,0.000223863,0.000223863,0.000223863
5,412.975,1.3243,2.82479,0.01289,0.83166,0.8291,0.91611,0.57053,1.34736,2.25673,0.01285,0.00021915,0.00021915,0.00021915
6,493.966,1.31465,2.43575,0.01293,0.85501,0.87247,0.94003,0.59276,1.33033,1.90648,0.01285,0.000214438,0.000214438,0.000214438
7,573.866,1.31152,2.171,0.01275,0.87373,0.88931,0.94995,0.61962,1.297,1.61264,0.01252,0.000209726,0.000209726,0.000209726
8,657.422,1.29557,1.9708,0.01265,0.87509,0.89557,0.95644,0.62005,1.29949,1.46012,0.0125,0.000205013,0.000205013,0.000205013
9,740.618,1.30467,1.79846,0.01271,0.91049,0.90697,0.96465,0.62863,1.30735,1.27683,0.01257,0.000200301,0.000200301,0.000200301
10,824.409,1.28187,1.6626,0.01256,0.91658,0.90903,0.96858,0.62386,1.31315,1.21278,0.01276,0.000195588,0.000195588,0.000195588
11,910.521,1.27782,1.59012,0.01244,0.92464,0.91623,0.97066,0.62462,1.31623,1.10973,0.01275,0.000190876,0.000190876,0.000190876
12,992.095,1.2801,1.50869,0.01238,0.92332,0.90334,0.96993,0.62624,1.31876,1.07565,0.01265,0.000186164,0.000186164,0.000186164
13,1072.45,1.27437,1.43024,0.01244,0.91797,0.92463,0.97132,0.63295,1.29329,0.99266,0.01254,0.000181451,0.000181451,0.000181451
14,1143.81,1.27107,1.36923,0.01234,0.92609,0.91724,0.97186,0.63353,1.28476,0.95061,0.01238,0.000176739,0.000176739,0.000176739
15,1208.88,1.25728,1.3279,0.01222,0.93196,0.93256,0.97363,0.63551,1.29622,0.90206,0.01245,0.000172026,0.000172026,0.000172026
16,1280.41,1.25306,1.2748,0.01224,0.92949,0.92403,0.97247,0.63187,1.29602,0.87526,0.01241,0.000167314,0.000167314,0.000167314
17,1350.18,1.24724,1.23735,0.0122,0.94633,0.93182,0.97682,0.63368,1.30797,0.84276,0.01262,0.000162602,0.000162602,0.000162602
18,1417.06,1.25009,1.22147,0.01208,0.93644,0.94298,0.97704,0.64166,1.27236,0.82965,0.01228,0.000157889,0.000157889,0.000157889
19,1499.67,1.23607,1.18922,0.01204,0.93891,0.93442,0.97609,0.63609,1.28522,0.80977,0.0124,0.000153177,0.000153177,0.000153177
20,1574.51,1.24203,1.17901,0.01202,0.94627,0.94079,0.97808,0.64001,1.28177,0.79901,0.01243,0.000148464,0.000148464,0.000148464
21,1658.24,1.22755,1.14078,0.01189,0.93833,0.9402,0.97793,0.63699,1.30493,0.7873,0.01266,0.000143752,0.000143752,0.000143752
22,1736.37,1.22093,1.12767,0.01188,0.94351,0.9416,0.97954,0.63919,1.29096,0.76978,0.01259,0.00013904,0.00013904,0.00013904
23,1829.32,1.21787,1.10539,0.01185,0.94461,0.9394,0.97844,0.63624,1.30216,0.76273,0.0126,0.000134327,0.000134327,0.000134327
24,1921.89,1.20929,1.08093,0.01173,0.94374,0.94829,0.97902,0.63641,1.30089,0.74483,0.01258,0.000129615,0.000129615,0.000129615
25,2004.69,1.20853,1.08402,0.01173,0.9396,0.9459,0.97902,0.63816,1.29847,0.731,0.01257,0.000124902,0.000124902,0.000124902
26,2101.67,1.21039,1.07079,0.01168,0.95028,0.94364,0.98042,0.64143,1.28973,0.72297,0.01251,0.00012019,0.00012019,0.00012019
27,2182.32,1.19433,1.03289,0.0116,0.94932,0.94652,0.98029,0.63672,1.30044,0.72961,0.01271,0.000115478,0.000115478,0.000115478
28,2284.38,1.18591,1.03879,0.01143,0.95242,0.94967,0.97973,0.63585,1.30153,0.72119,0.0126,0.000110765,0.000110765,0.000110765
29,2395.53,1.18304,1.04075,0.01142,0.94664,0.94085,0.97852,0.63564,1.30145,0.72071,0.01263,0.000106053,0.000106053,0.000106053
30,2514.25,1.18129,1.0128,0.01141,0.94928,0.94888,0.98036,0.63984,1.29025,0.70742,0.01249,0.00010134,0.00010134,0.00010134
31,2633.14,1.17724,1.01757,0.01135,0.93919,0.95227,0.97828,0.63416,1.30344,0.70772,0.01259,9.6628e-05,9.6628e-05,9.6628e-05
32,2752.46,1.17031,1.00807,0.01118,0.94738,0.9485,0.97985,0.63237,1.31183,0.70452,0.01274,9.19156e-05,9.19156e-05,9.19156e-05
33,2873.33,1.16676,1.00551,0.01129,0.94559,0.94718,0.97978,0.63359,1.3072,0.699,0.01271,8.72032e-05,8.72032e-05,8.72032e-05
